[11:24:56]设备[ID107Plus HR]E7:C1:25:A9:23:99连接了.....
[11:43:16] b6 65
[11:43:17] b7 65
[11:43:18] b8 65
[11:43:19] b8 65
[11:43:20] b8 65
[11:43:21] b7 65
[11:43:22] b7 65
[11:43:23] b7 65
[11:43:24] b7 65
[11:43:25] b8 65
[11:43:26] b8 65
[11:43:27] b8 65
[11:43:28] b7 65
[11:43:29] b7 65
[11:43:30] b6 65
[11:43:31] b6 65
[11:43:32] b6 65
[11:43:33] b6 65
[11:43:34] b6 65
[11:43:35] b6 65
[11:43:36] b5 65
[11:43:37] b6 65
[11:43:38] b6 65
[11:43:39] b6 65
[11:43:40] b7 65
[11:43:41] b7 65
[11:43:42] b8 65
[11:43:43] b7 65
[11:43:44] b7 65
[11:43:45] b7 65
[11:43:46] b7 65
[11:43:47] b7 65
[11:43:48] b7 65
