[16:32:42]设备[Polar H10 082A5724]EE:E4:E7:AD:42:9B连接了.....
[16:32:47]设备[C5:F7:76:AF:E2:E0断开了.....
[16:32:59]设备[ID107Plus HR]C5:F7:76:AF:E2:E0连接了.....
[16:33:22] 00 63 60 81 79 60 81 79 60 81 79 60 81 79 1a 53 1a 4f 00 01 d0 
[16:33:22] 00 63 60 81 79 60 81 79 60 81 79 60 81 79 1a 51 1a 58 00 01 d1 
[16:33:22] 00 63 60 81 79 60 81 79 60 81 79 60 81 79 1a 61 1a 60 00 01 d2 
[16:33:22] 00 63 60 81 79 60 81 79 60 81 79 60 81 79 1a 60 1a 5d 00 01 d3 
[16:33:22] 00 63 60 81 79 60 81 79 60 81 79 60 81 79 1a 63 1a 65 00 01 d4 
[16:33:22] 00 63 60 81 79 60 81 79 60 81 79 60 81 79 1a 5b 1a 66 00 01 d5 
[16:33:22] 00 63 60 81 79 60 81 79 60 81 79 60 81 79 1a 62 1a 61 00 01 d6 
[16:33:22] 00 66 60 81 79 60 81 79 60 81 79 60 81 79 1a 61 1a 4c 00 04 d7 
[16:33:22] 00 66 60 81 79 60 81 79 60 81 79 60 81 79 1a 57 1a 5c 00 04 d8 
[16:33:22] 00 66 60 81 79 60 81 79 60 81 79 60 81 79 1a 4c 1a 51 00 04 d9 
[16:33:22] 00 66 60 81 79 60 81 79 60 81 79 60 81 79 1a 52 1a 4e 00 04 da 
[16:33:22] 00 66 60 81 79 60 81 79 60 81 79 60 81 79 1a 60 1a 5e 00 04 db 
[16:33:22] 00 66 60 81 79 60 81 79 60 81 79 60 81 79 1a 5d 1a 53 00 04 dc 
[16:33:23] 00 66 60 81 79 60 81 79 60 81 79 60 81 79 1a 5a 1a 60 00 04 dd 
[16:33:23] 00 66 60 81 79 60 81 79 60 81 79 60 81 79 1a 57 1a 59 00 04 de 
[16:33:23] 00 66 60 80 79 60 80 79 60 81 79 60 81 79 1a 56 1a 57 00 04 df 
[16:33:23] 00 66 60 81 79 60 81 79 60 81 79 60 81 79 1a 55 1a 4a 00 04 e0 
[16:33:23] 00 66 60 81 79 60 81 79 60 81 79 60 81 79 1a 4f 1a 51 00 04 e1 
[16:33:23] 00 66 60 81 79 60 81 79 60 81 79 60 81 79 1a 5c 1a 61 00 04 e2 
[16:33:23] 00 66 60 81 79 60 80 79 60 80 79 60 81 79 1a 59 1a 5f 00 04 e3 
[16:33:23] 00 66 60 81 79 60 81 79 60 81 79 60 81 79 1a 4f 1a 4f 00 04 e4 
[16:33:23] 00 66 60 81 79 60 81 79 60 81 79 60 81 79 1a 58 1a 59 00 04 e5 
